iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex,detection_primary,startle_score,fear_tension_score,movement_score
2026-05-17T21:27:55.600,0.936,86,675.781 665.039,260.1,184.9,25.1,True,100,16 56 B4 02 A9 02,姿勢/体動疑い,13,7,79
2026-05-17T21:27:56.589,1.925,86,674.805,260.1,184.9,25.1,True,100,16 56 B3 02,姿勢/体動疑い,12,7,79
2026-05-17T21:27:57.579,2.915,86,705.078,260.1,184.9,25.1,True,100,16 56 D2 02,姿勢/体動疑い,10,7,79
2026-05-17T21:27:58.571,3.906,86,675.781 668.945,260.1,184.8,25.1,True,100,16 56 B4 02 AD 02,姿勢/体動疑い,12,7,80
2026-05-17T21:27:59.559,4.895,86,684.57,260.1,184.8,25.1,True,100,16 56 BD 02,姿勢/体動疑い,11,7,80
2026-05-17T21:28:00.547,5.884,87,688.477 667.969,260.1,184.8,25.1,True,100,16 57 C1 02 AC 02,姿勢/体動疑い,11,8,80
2026-05-17T21:28:01.537,6.875,87,638.672 626.953,260.1,184.9,25.1,True,100,16 57 8E 02 82 02,姿勢/体動疑い,15,8,81
2026-05-17T21:28:02.529,7.865,88,633.789,259.9,184.9,24.6,True,100,16 58 89 02,姿勢/体動疑い,15,8,82
2026-05-17T21:28:03.516,8.854,89,644.531 473.633,260.0,185.0,24.6,True,100,16 59 94 02 E5 01,姿勢/体動疑い,45,8,85
2026-05-17T21:28:04.506,9.844,90,607.422 251.953,261.5,187.5,25.7,True,100,16 5A 6E 02 02 01,姿勢/体動疑い,48,8,85
2026-05-17T21:28:05.498,10.835,90,355.469,261.6,188.8,26.3,True,100,16 5A 6C 01,姿勢/体動疑い,48,8,85
2026-05-17T21:28:06.487,11.825,90,1213.867 598.633,273.3,193.3,27.4,True,100,16 5A DB 04 65 02,姿勢/体動疑い,7,8,85
2026-05-17T21:28:07.477,12.815,91,584.961,273.2,193.4,27.4,True,100,16 5B 57 02,姿勢/体動疑い,25,8,86
2026-05-17T21:28:08.466,13.804,93,589.844 589.844,272.2,192.4,26.3,True,100,16 5D 5C 02 5C 02,姿勢/体動疑い,25,8,86
2026-05-17T21:28:09.459,14.794,96,582.031 588.867,272.2,192.6,26.3,True,100,16 60 54 02 5B 02,姿勢/体動疑い,29,8,86
2026-05-17T21:28:10.446,15.784,96,603.516,272.2,192.6,26.3,True,100,16 60 6A 02,姿勢/体動疑い,25,8,86
2026-05-17T21:28:11.439,16.776,98,604.492 608.398,271.8,192.7,25.7,True,100,16 62 6B 02 6F 02,姿勢/体動疑い,28,8,86
2026-05-17T21:28:12.427,17.764,98,618.164 647.461,271.1,192.4,24.6,True,100,16 62 79 02 97 02,姿勢/体動疑い,27,8,86
2026-05-17T21:28:13.665,19.002,98,662.109,271.1,192.1,24.6,True,100,16 62 A6 02,姿勢/体動疑い,24,8,86
2026-05-17T21:28:14.657,19.992,98,685.547 657.227,267.2,191.4,24.0,True,100,16 62 BE 02 A1 02,姿勢/体動疑い,21,8,86
2026-05-17T21:28:15.644,20.982,98,666.992,263.0,188.0,23.5,True,100,16 62 AB 02,姿勢/体動疑い,19,8,86
2026-05-17T21:28:16.634,21.972,96,678.711,262.7,187.7,22.9,True,100,16 60 B7 02,姿勢/体動疑い,16,8,86
2026-05-17T21:28:17.625,22.962,94,698.242 665.039,255.5,185.0,21.8,True,100,16 5E CB 02 A9 02,姿勢/体動疑い,16,8,86
2026-05-17T21:28:18.615,23.952,94,663.086,255.5,183.9,21.8,True,100,16 5E A7 02,姿勢/体動疑い,18,8,86
2026-05-17T21:28:19.603,24.941,92,693.359 706.055,255.4,180.3,21.2,True,100,16 5C C6 02 D3 02,姿勢/体動疑い,15,8,86
2026-05-17T21:28:20.595,25.932,90,685.547,253.0,178.3,20.7,True,100,16 5A BE 02,姿勢/体動疑い,16,8,85
2026-05-17T21:28:21.585,26.922,88,675.781 727.539,248.2,177.4,20.1,True,100,16 58 B4 02 E9 02,姿勢/体動疑い,15,8,82
2026-05-17T21:28:22.576,27.912,88,777.344,248.2,174.8,20.1,True,100,16 58 1C 03,姿勢/体動疑い,11,8,80
2026-05-17T21:28:23.564,28.902,87,767.578,248.2,172.8,20.1,True,100,16 57 12 03,姿勢/体動疑い,11,8,79
2026-05-17T21:28:24.556,29.893,85,754.883 758.789,230.5,166.7,19.0,True,100,16 55 05 03 09 03,姿勢/体動疑い,11,7,77
2026-05-17T21:28:25.546,30.883,85,742.188,230.2,164.4,18.4,True,100,16 55 F8 02,姿勢/体動疑い,12,7,76
2026-05-17T21:28:26.536,31.873,84,688.477 655.273,227.1,163.4,17.9,True,100,16 54 C1 02 9F 02,姿勢/体動疑い,17,6,76
2026-05-17T21:28:27.525,32.862,85,653.32,227.1,161.7,17.3,True,100,16 55 9D 02,姿勢/体動疑い,18,7,77
2026-05-17T21:28:28.517,33.852,84,669.922 679.688,227.1,159.2,17.3,True,100,16 54 AE 02 B8 02,姿勢/体動疑い,17,6,77
2026-05-17T21:28:29.504,34.842,84,662.109,227.0,157.7,16.8,True,100,16 54 A6 02,姿勢/体動疑い,16,6,77
2026-05-17T21:28:30.495,35.832,85,697.266,217.9,156.8,16.2,True,100,16 55 CA 02,姿勢/体動疑い,12,7,77
2026-05-17T21:28:31.484,36.822,83,753.906 763.672,212.3,149.7,16.2,True,100,16 53 04 03 0E 03,姿勢/体動疑い,6,5,75
2026-05-17T21:28:32.474,37.812,83,713.867,212.4,149.7,16.2,True,100,16 53 DB 02,姿勢/体動疑い,8,5,75
2026-05-17T21:28:33.465,38.802,84,702.148 707.031,212.3,149.8,15.6,True,100,16 54 CF 02 D4 02,姿勢/体動疑い,8,6,76
2026-05-17T21:28:34.454,39.791,85,706.055,212.3,149.7,15.6,True,100,16 55 D3 02,姿勢/体動疑い,6,7,77
2026-05-17T21:28:35.692,41.03,85,690.43,212.3,149.6,15.6,True,100,16 55 C3 02,姿勢/体動疑い,8,7,77
2026-05-17T21:28:36.683,42.02,86,708.984 748.047,212.3,149.6,15.6,True,100,16 56 D6 02 FE 02,姿勢/体動疑い,6,7,74
2026-05-17T21:28:37.671,43.009,85,720.703,212.3,149.6,15.6,True,100,16 55 E2 02,姿勢/体動疑い,6,7,72
