iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex,detection_primary,startle_score,fear_tension_score,movement_score
2026-05-17T16:42:55.232,0.799,73,846.68,22.8,59.5,2.2,True,100,16 49 63 03,軽い反応,6,51,6
2026-05-17T16:42:56.224,1.789,73,857.422,22.8,59.7,2.2,True,100,16 49 6E 03,軽い反応,6,51,6
2026-05-17T16:42:57.213,2.78,73,839.844,22.8,59.8,2.2,True,100,16 49 5C 03,軽い反応,6,51,6
2026-05-17T16:42:58.202,3.769,73,832.031 867.188,22.6,60.1,1.7,True,100,16 49 54 03 78 03,軽い反応,6,53,6
2026-05-17T16:42:59.193,4.758,73,855.469,22.6,60.1,1.7,True,100,16 49 6C 03,軽い反応,6,53,6
2026-05-17T16:43:00.183,5.748,72,838.867,22.6,60.1,1.7,True,100,16 48 5B 03,軽い反応,6,53,6
2026-05-17T16:43:01.173,6.738,72,833.984,22.5,60.0,1.7,True,100,16 48 56 03,軽い反応,6,54,7
2026-05-17T16:43:02.163,7.729,72,832.031,22.5,60.1,1.7,True,100,16 48 54 03,軽い反応,6,54,7
2026-05-17T16:43:03.153,8.719,72,811.523 755.859,22.9,60.0,2.2,True,100,16 48 3F 03 06 03,軽い反応,6,51,6
2026-05-17T16:43:04.143,9.709,72,718.75,23.0,60.2,2.2,True,100,16 48 E0 02,軽い反応,34,50,6
2026-05-17T16:43:05.133,10.699,73,700.195 675.781,23.0,61.1,2.2,True,100,16 49 CD 02 B4 02,軽い反応,50,50,6
2026-05-17T16:43:06.122,11.689,74,655.273,23.0,61.7,2.2,True,100,16 4A 9F 02,軽い反応,54,49,6
2026-05-17T16:43:07.112,12.679,78,660.156 660.156,23.0,62.6,2.2,True,100,16 4E A4 02 A4 02,軽い反応,58,51,6
2026-05-17T16:43:08.598,14.164,78,651.367,23.1,63.1,2.2,True,100,16 4E 9B 02,軽い反応,58,50,9
2026-05-17T16:43:09.093,14.658,81,660.156 677.734,23.1,63.7,2.2,True,100,16 51 A4 02 B6 02,びっくり候補,70,52,10
2026-05-17T16:43:10.083,15.65,84,677.734,23.0,64.0,2.2,True,100,16 54 B6 02,びっくり候補,83,54,12
2026-05-17T16:43:11.073,16.639,84,702.148,23.1,64.2,2.2,True,100,16 54 CF 02,びっくり候補,69,53,14
2026-05-17T16:43:12.063,17.628,86,721.68 733.398,23.0,64.4,2.2,True,100,16 56 E3 02 EF 02,警戒/緊張,55,55,15
2026-05-17T16:43:13.052,18.618,87,718.75,22.9,64.6,2.2,True,100,16 57 E0 02,警戒/緊張,53,55,16
2026-05-17T16:43:14.042,19.609,86,733.398 757.812,22.8,64.8,2.2,True,100,16 56 EF 02 08 03,警戒/緊張,44,55,17
2026-05-17T16:43:15.033,20.598,86,797.852,22.9,64.7,2.2,True,100,16 56 31 03,警戒/緊張,40,55,16
2026-05-17T16:43:16.022,21.589,85,778.32,22.7,64.6,2.2,True,100,16 55 1D 03,警戒/緊張,32,55,15
2026-05-17T16:43:17.013,22.579,85,793.945,22.7,64.1,2.2,True,100,16 55 2D 03,警戒/緊張,28,55,18
2026-05-17T16:43:18.251,23.816,83,798.828 805.664,22.7,62.8,2.2,True,100,16 53 32 03 39 03,警戒/緊張,11,55,20
2026-05-17T16:43:19.240,24.806,80,791.992,22.7,62.1,2.2,True,100,16 50 2B 03,軽い反応,7,53,21
2026-05-17T16:43:20.231,25.796,80,834.961,22.8,61.6,2.2,True,100,16 50 57 03,軽い反応,7,53,26
2026-05-17T16:43:21.221,26.786,78,843.75,22.5,61.4,2.2,True,100,16 4E 60 03,軽い反応,6,53,27
2026-05-17T16:43:22.212,27.777,78,855.469,21.7,61.5,1.7,True,100,16 4E 6C 03,警戒/緊張,6,56,29
2026-05-17T16:43:23.200,28.766,76,870.117,21.7,61.7,1.7,True,100,16 4C 7B 03,警戒/緊張,6,55,29
2026-05-17T16:43:24.190,29.756,74,852.539 859.375,21.4,61.3,1.7,True,100,16 4A 69 03 70 03,警戒/緊張,7,55,30
2026-05-17T16:43:25.183,30.747,74,871.094,21.4,60.7,1.7,True,100,16 4A 7C 03,警戒/緊張,7,56,30
2026-05-17T16:43:26.171,31.737,72,853.516,21.4,60.0,1.7,True,100,16 48 6A 03,警戒/緊張,7,56,30
2026-05-17T16:43:27.160,32.726,72,875.977,21.4,59.6,1.7,True,100,16 48 81 03,警戒/緊張,7,56,29
2026-05-17T16:43:28.150,33.716,71,867.188,21.1,59.3,1.7,True,100,16 47 78 03,警戒/緊張,7,57,28
2026-05-17T16:43:29.140,34.706,71,844.727,21.0,59.3,1.7,True,100,16 47 61 03,警戒/緊張,7,58,23
2026-05-17T16:43:30.131,35.696,70,834.961 865.234,21.0,59.6,1.7,True,100,16 46 57 03 76 03,警戒/緊張,7,57,16
2026-05-17T16:43:31.120,36.686,70,885.742,21.0,60.0,1.7,True,100,16 46 8B 03,警戒/緊張,7,57,12
2026-05-17T16:43:32.111,37.676,70,860.352,21.1,60.2,1.7,True,100,16 46 71 03,警戒/緊張,7,57,8
2026-05-17T16:43:33.101,38.667,69,836.914,21.0,60.3,1.7,True,100,16 45 59 03,警戒/緊張,7,57,8
2026-05-17T16:43:34.091,39.657,69,860.352,21.1,60.5,1.7,True,100,16 45 71 03,警戒/緊張,7,57,8
2026-05-17T16:43:35.080,40.647,69,890.625,21.2,60.8,1.7,True,100,16 45 90 03,警戒/緊張,7,56,8
2026-05-17T16:43:36.070,41.636,69,869.141 842.773,21.3,61.0,1.7,True,100,16 45 7A 03 5F 03,警戒/緊張,7,56,7
2026-05-17T16:43:37.060,42.626,69,864.258,21.2,61.1,1.7,True,100,16 45 75 03,警戒/緊張,7,56,8
2026-05-17T16:43:38.050,43.616,69,897.461,21.4,61.5,1.7,True,100,16 45 97 03,警戒/緊張,7,55,7
2026-05-17T16:43:39.040,44.606,69,884.766,21.4,61.9,1.7,True,100,16 45 8A 03,警戒/緊張,7,55,7
2026-05-17T16:43:40.278,45.843,69,871.094,21.4,62.1,1.7,True,100,16 45 7C 03,警戒/緊張,7,55,7
2026-05-17T16:43:41.269,46.834,69,893.555,21.4,62.6,1.7,True,100,16 45 93 03,軽い反応,7,54,7
2026-05-17T16:43:42.258,47.824,68,880.859,21.4,62.9,1.7,True,100,16 44 86 03,軽い反応,7,54,7
2026-05-17T16:43:43.248,48.814,68,844.727 854.492,21.4,62.9,1.7,True,100,16 44 61 03 6B 03,軽い反応,7,54,7
2026-05-17T16:43:44.238,49.805,68,860.352,21.4,62.8,1.7,True,100,16 44 71 03,軽い反応,7,54,7
2026-05-17T16:43:45.230,50.794,69,845.703,21.4,62.5,1.7,True,100,16 45 62 03,軽い反応,7,54,7
2026-05-17T16:43:46.219,51.784,69,804.688,21.6,62.1,1.7,True,100,16 45 38 03,軽い反応,16,54,7
2026-05-17T16:43:47.208,52.774,69,795.898,21.7,61.7,1.7,True,100,16 45 2F 03,軽い反応,21,54,7
2026-05-17T16:43:48.446,54.011,69,818.359 873.047,22.1,61.3,2.2,True,100,16 45 46 03 7E 03,軽い反応,6,52,7
2026-05-17T16:43:49.188,54.755,69,875.0,22.1,61.4,2.2,True,100,16 45 80 03,軽い反応,6,52,7
2026-05-17T16:43:50.425,55.991,69,875.0,22.0,61.4,2.2,True,100,16 45 80 03,軽い反応,6,52,7
2026-05-17T16:43:51.168,56.733,69,918.945,22.3,61.7,2.2,True,100,16 45 AD 03,軽い反応,6,51,7
2026-05-17T16:43:52.158,57.723,69,918.945,22.3,62.0,2.2,True,100,16 45 AD 03,軽い反応,6,51,7
2026-05-17T16:43:53.148,58.713,69,922.852,22.3,62.3,2.2,True,100,16 45 B1 03,軽い反応,6,51,7
2026-05-17T16:43:54.138,59.703,69,881.836,22.5,62.3,2.2,True,100,16 45 87 03,軽い反応,6,50,7
2026-05-17T16:43:55.127,60.693,69,867.188,22.5,62.2,2.2,True,100,16 45 78 03,軽い反応,6,50,7
2026-05-17T16:43:56.118,61.683,69,860.352 846.68,22.5,61.8,2.2,True,100,16 45 71 03 63 03,軽い反応,6,50,7
2026-05-17T16:43:57.108,62.673,69,836.914,22.5,61.4,2.2,True,100,16 45 59 03,軽い反応,6,51,7
2026-05-17T16:43:58.098,63.663,69,887.695,22.8,61.1,2.8,True,100,16 45 8D 03,軽い反応,6,48,6
2026-05-17T16:43:59.088,64.653,68,905.273,22.8,60.9,2.8,True,100,16 44 9F 03,軽い反応,6,48,6
2026-05-17T16:44:00.078,65.643,68,896.484,22.8,60.8,2.8,True,100,16 44 96 03,軽い反応,6,48,6
2026-05-17T16:44:01.068,66.633,68,864.258,22.9,60.5,2.8,True,100,16 44 75 03,軽い反応,6,48,6
2026-05-17T16:44:02.058,67.623,68,839.844 856.445,22.9,59.8,2.8,True,100,16 44 5C 03 6D 03,軽い反応,6,49,6
2026-05-17T16:44:03.295,68.861,68,861.328,22.9,59.7,2.8,True,100,16 44 72 03,軽い反応,6,49,6
2026-05-17T16:44:04.286,69.851,68,850.586,22.9,59.7,2.8,True,100,16 44 67 03,軽い反応,6,49,6
2026-05-17T16:44:05.276,70.841,68,832.031,23.0,59.6,2.8,True,100,16 44 54 03,軽い反応,12,49,6
2026-05-17T16:44:06.265,71.831,69,873.047,23.1,59.6,2.8,True,100,16 45 7E 03,軽い反応,6,48,6
2026-05-17T16:44:07.255,72.821,69,896.484,23.1,59.7,2.8,True,100,16 45 96 03,軽い反応,6,48,6
