iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex
2026-05-17T16:19:24.856,0.849,78,841.797 853.516,81.0,99.5,7.8,True,100,16 4E 5E 03 6A 03
2026-05-17T16:19:25.847,1.84,77,813.477,81.0,99.6,7.8,True,100,16 4D 41 03
2026-05-17T16:19:26.837,2.83,77,778.32,81.0,99.5,7.8,True,100,16 4D 1D 03
2026-05-17T16:19:27.826,3.819,76,769.531,81.0,99.4,7.8,True,100,16 4C 14 03
2026-05-17T16:19:28.817,4.809,75,759.766 703.125,81.1,99.4,8.4,True,100,16 4B 0A 03 D0 02
2026-05-17T16:19:29.807,5.799,75,742.188,81.2,99.4,8.4,True,100,16 4B F8 02
2026-05-17T16:19:30.796,6.789,75,715.82 685.547,81.2,99.5,8.4,True,100,16 4B DD 02 BE 02
2026-05-17T16:19:31.787,7.78,76,712.891,81.2,99.5,8.4,True,100,16 4C DA 02
2026-05-17T16:19:32.777,8.77,76,731.445,81.2,99.5,8.4,True,100,16 4C ED 02
2026-05-17T16:19:33.766,9.759,78,733.398 701.172,81.2,99.4,8.4,True,100,16 4E EF 02 CE 02
2026-05-17T16:19:34.756,10.749,80,710.938,81.2,99.3,8.4,True,100,16 50 D8 02
2026-05-17T16:19:35.746,11.739,82,723.633 717.773,81.2,99.1,8.4,True,100,16 52 E5 02 DF 02
2026-05-17T16:19:36.736,12.729,82,708.984,81.2,99.0,8.4,True,100,16 52 D6 02
2026-05-17T16:19:37.726,13.719,83,693.359,81.2,98.9,8.4,True,100,16 53 C6 02
2026-05-17T16:19:38.717,14.709,84,665.039 657.227,81.2,99.2,8.4,True,100,16 54 A9 02 A1 02
2026-05-17T16:19:39.708,15.699,84,653.32,81.2,99.4,8.4,True,100,16 54 9D 02
2026-05-17T16:19:40.697,16.689,85,658.203 662.109,81.2,99.7,8.4,True,100,16 55 A2 02 A6 02
2026-05-17T16:19:41.687,17.679,86,663.086 644.531,81.1,99.7,8.4,True,100,16 56 A7 02 94 02
2026-05-17T16:19:42.676,18.669,88,646.484,81.1,99.7,8.4,True,100,16 58 96 02
2026-05-17T16:19:43.666,19.659,89,666.992 679.688,81.1,99.1,8.4,True,100,16 59 AB 02 B8 02
2026-05-17T16:19:44.904,20.897,89,707.031,81.1,98.9,8.4,True,100,16 59 D4 02
2026-05-17T16:19:45.894,21.887,89,792.969,81.4,98.8,8.9,True,100,16 59 2C 03
2026-05-17T16:19:46.884,22.877,89,864.258,81.5,98.8,9.5,True,100,16 59 75 03
2026-05-17T16:19:47.874,23.867,88,900.391,81.5,99.3,8.9,True,100,16 58 9A 03
2026-05-17T16:19:48.863,24.856,88,916.992,81.4,100.1,8.4,True,100,16 58 AB 03
2026-05-17T16:19:49.854,25.846,84,922.852,81.4,101.1,8.4,True,100,16 54 B1 03
2026-05-17T16:19:50.845,26.837,79,950.195 925.781,74.0,103.2,7.3,True,100,16 4F CD 03 B4 03
2026-05-17T16:19:51.836,27.828,79,869.141,63.5,98.3,7.3,True,100,16 4F 7A 03
2026-05-17T16:19:52.824,28.817,75,867.188,63.4,98.6,7.3,True,100,16 4B 78 03
2026-05-17T16:19:53.815,29.807,75,879.883,63.4,99.0,7.3,True,100,16 4B 85 03
2026-05-17T16:19:54.804,30.797,71,884.766,63.4,99.6,7.3,True,100,16 47 8A 03
2026-05-17T16:19:55.795,31.788,71,855.469,63.4,99.9,7.3,True,100,16 47 6C 03
2026-05-17T16:19:56.785,32.778,69,806.641 797.852,63.5,100.0,7.3,True,100,16 45 3A 03 31 03
2026-05-17T16:19:57.774,33.767,69,808.594,63.5,100.0,7.3,True,100,16 45 3C 03
2026-05-17T16:19:58.764,34.757,69,811.523,63.5,100.1,7.3,True,100,16 45 3F 03
2026-05-17T16:19:59.754,35.747,69,800.781,63.5,100.1,7.3,True,100,16 45 34 03
2026-05-17T16:20:00.744,36.737,69,868.164,63.7,100.4,7.8,True,100,16 45 79 03
2026-05-17T16:20:01.734,37.727,69,884.766 835.938,63.8,100.8,7.8,True,100,16 45 8A 03 58 03
2026-05-17T16:20:02.724,38.717,71,796.875,63.9,100.8,7.8,True,100,16 47 30 03
2026-05-17T16:20:03.714,39.706,71,802.734,63.9,100.7,7.8,True,100,16 47 36 03
2026-05-17T16:20:04.704,40.697,72,778.32,63.9,100.6,7.8,True,100,16 48 1D 03
2026-05-17T16:20:05.695,41.687,73,762.695 756.836,63.9,100.3,7.8,True,100,16 49 0D 03 07 03
2026-05-17T16:20:06.932,42.924,73,746.094,63.9,100.2,7.8,True,100,16 49 FC 02
2026-05-17T16:20:07.925,43.917,75,737.305,63.9,100.2,7.8,True,100,16 4B F3 02
2026-05-17T16:20:08.912,44.905,75,767.578 793.945,63.9,100.0,7.8,True,100,16 4B 12 03 2D 03
2026-05-17T16:20:09.901,45.894,75,804.688,63.9,99.9,7.8,True,100,16 4B 38 03
2026-05-17T16:20:10.892,46.884,75,808.594,63.9,99.7,7.8,True,100,16 4B 3C 03
2026-05-17T16:20:11.881,47.874,75,849.609,64.0,99.6,7.8,True,100,16 4B 66 03
2026-05-17T16:20:12.872,48.864,75,864.258,63.9,99.7,7.8,True,100,16 4B 75 03
2026-05-17T16:20:13.861,49.854,75,839.844 821.289,63.9,99.9,7.8,True,100,16 4B 5C 03 49 03
2026-05-17T16:20:14.852,50.844,75,849.609,63.8,100.1,7.8,True,100,16 4B 66 03
2026-05-17T16:20:15.841,51.834,74,841.797,63.8,100.2,7.8,True,100,16 4A 5E 03
2026-05-17T16:20:16.832,52.824,74,832.031,63.8,100.3,7.8,True,100,16 4A 54 03
2026-05-17T16:20:17.823,53.815,74,819.336,63.8,100.2,7.8,True,100,16 4A 47 03
2026-05-17T16:20:19.308,55.299,72,843.75 869.141,63.9,100.1,7.8,True,100,16 48 60 03 7A 03
2026-05-17T16:20:19.802,55.795,72,839.844,63.9,100.0,7.8,True,100,16 48 5C 03
2026-05-17T16:20:20.791,56.784,72,826.172,63.9,99.8,7.8,True,100,16 48 4E 03
2026-05-17T16:20:21.781,57.774,72,850.586,63.9,99.7,7.8,True,100,16 48 67 03
2026-05-17T16:20:22.772,58.765,71,894.531,64.0,99.9,7.8,True,100,16 47 94 03
2026-05-17T16:20:23.761,59.754,71,907.227,64.0,100.2,7.8,True,100,16 47 A1 03
2026-05-17T16:20:24.751,60.744,70,873.047,64.0,100.4,7.8,True,100,16 46 7E 03
2026-05-17T16:20:25.742,61.735,70,887.695 920.898,56.8,101.2,7.3,True,100,16 46 8D 03 AF 03
2026-05-17T16:20:26.732,62.724,70,939.453,55.8,96.4,6.7,True,100,16 46 C2 03
2026-05-17T16:20:27.722,63.714,69,894.531,55.0,94.2,6.1,True,100,16 45 94 03
2026-05-17T16:20:28.712,64.705,69,893.555,55.0,88.7,6.1,True,100,16 45 93 03
2026-05-17T16:20:29.950,65.943,68,915.039,53.2,83.5,5.6,True,100,16 44 A9 03
2026-05-17T16:20:30.939,66.932,68,913.086,53.2,82.0,5.6,True,100,16 44 A7 03
2026-05-17T16:20:31.929,67.922,67,854.492,51.3,79.7,5.6,True,100,16 43 6B 03
