iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex
2026-05-17T15:51:21.732,0.556,77,782.227,51.7,65.1,3.0,True,100,16 4D 21 03
2026-05-17T15:51:22.720,1.545,77,806.641,51.5,65.0,2.9,True,100,16 4D 3A 03
2026-05-17T15:51:23.711,2.536,77,763.672 736.328,51.3,64.4,2.9,True,100,16 4D 0E 03 F2 02
2026-05-17T15:51:24.701,3.526,78,731.445,51.0,64.1,2.9,True,100,16 4E ED 02
2026-05-17T15:51:25.691,4.516,78,719.727,50.8,63.9,2.8,True,100,16 4E E1 02
2026-05-17T15:51:27.176,6.001,81,688.477 658.203,50.5,64.1,2.8,True,100,16 51 C1 02 A2 02
2026-05-17T15:51:27.671,6.496,83,645.508,50.3,64.5,2.8,True,100,16 53 95 02
2026-05-17T15:51:28.661,7.486,84,654.297 704.102,50.0,64.5,2.7,True,100,16 54 9E 02 D1 02
2026-05-17T15:51:29.654,8.479,84,809.57,50.8,64.6,3.6,True,100,16 54 3D 03
2026-05-17T15:51:30.641,9.466,82,866.211,50.9,65.3,4.4,True,100,16 52 77 03
2026-05-17T15:51:31.631,10.456,82,900.391,50.7,66.6,4.4,True,100,16 52 9A 03
2026-05-17T15:51:32.621,11.446,80,790.039 720.703,51.7,66.2,6.0,True,100,16 50 29 03 E2 02
2026-05-17T15:51:33.611,12.435,82,724.609,51.5,66.0,6.0,True,100,16 52 E6 02
2026-05-17T15:51:34.600,13.425,82,736.328,51.3,65.7,5.9,True,100,16 52 F2 02
2026-05-17T15:51:35.591,14.416,81,814.453,51.6,65.7,6.7,True,100,16 51 42 03
2026-05-17T15:51:36.581,15.406,79,867.188 929.688,51.7,68.1,8.3,True,100,16 4F 78 03 B8 03
2026-05-17T15:51:37.571,16.396,79,878.906,51.7,68.9,9.0,True,100,16 4F 84 03
2026-05-17T15:51:38.561,17.386,75,884.766,51.5,69.6,8.9,True,100,16 4B 8A 03
2026-05-17T15:51:39.551,18.376,75,919.922,51.4,71.0,8.9,True,100,16 4B AE 03
2026-05-17T15:51:40.541,19.366,72,912.109,51.2,72.1,8.8,True,100,16 48 A6 03
2026-05-17T15:51:41.531,20.356,72,909.18,51.0,73.2,8.7,True,100,16 48 A3 03
2026-05-17T15:51:42.768,21.593,70,872.07,50.9,73.6,8.7,True,100,16 46 7D 03
2026-05-17T15:51:43.759,22.584,71,818.359 811.523,50.7,73.4,9.3,True,100,16 47 46 03 3F 03
2026-05-17T15:51:44.748,23.573,71,826.172,50.5,73.4,9.2,True,100,16 47 4E 03
2026-05-17T15:51:45.738,24.563,69,884.766,50.6,74.0,9.9,True,100,16 45 8A 03
2026-05-17T15:51:46.728,25.553,69,940.43,50.6,75.4,10.6,True,100,16 45 C3 03
2026-05-17T15:51:47.718,26.543,68,966.797,50.5,77.2,10.5,True,100,16 44 DE 03
2026-05-17T15:51:48.709,27.534,68,945.312,50.3,78.5,10.4,True,100,16 44 C8 03
