iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex,detection_primary,startle_score,fear_tension_score,movement_score,arousal_score
2026-05-17T23:59:49.183,0.791,83,725.586,28.4,69.0,7.3,True,100,16 53 E7 02,軽い反応,11,37,48,20
2026-05-17T23:59:50.173,1.781,83,722.656 698.242,28.4,69.6,7.3,True,100,16 53 E4 02 CB 02,軽い反応,12,39,53,20
2026-05-17T23:59:51.163,2.772,83,676.758,28.3,70.0,7.3,True,100,16 53 B5 02,軽い反応,16,41,59,21
2026-05-17T23:59:52.152,3.762,83,705.078,28.3,70.4,7.3,True,100,16 53 D2 02,姿勢/体動疑い,8,42,65,21
2026-05-17T23:59:53.145,4.752,83,750.0 802.734,28.8,70.4,7.8,True,100,16 53 00 03 36 03,軽い反応,4,43,64,17
2026-05-17T23:59:54.132,5.741,83,798.828,28.6,70.3,7.8,True,100,16 53 32 03,姿勢/体動疑い,4,45,65,18
2026-05-17T23:59:55.122,6.731,83,765.625,28.7,70.4,7.8,True,100,16 53 10 03,姿勢/体動疑い,3,45,65,18
2026-05-17T23:59:56.112,7.72,83,753.906 743.164,28.7,70.7,7.8,True,100,16 53 04 03 F9 02,姿勢/体動疑い,3,47,65,18
2026-05-17T23:59:57.102,8.711,83,735.352,28.6,70.8,7.8,True,100,16 53 F1 02,姿勢/体動疑い,4,49,65,18
2026-05-17T23:59:58.091,9.701,82,696.289,28.7,71.3,7.8,True,100,16 52 C9 02,軽い反応,7,50,64,17
2026-05-17T23:59:59.082,10.69,82,682.617 732.422,28.7,72.0,7.8,True,100,16 52 BB 02 EE 02,軽い反応,5,52,63,17
2026-05-18T00:00:00.071,11.68,82,815.43,29.3,71.9,8.4,True,100,16 52 43 03,軽い反応,1,52,61,13
2026-05-18T00:00:01.061,12.671,80,842.773,29.4,71.8,8.4,True,100,16 50 5F 03,軽い反応,2,53,58,12
2026-05-18T00:00:02.051,13.66,80,799.805,29.5,71.6,8.4,True,100,16 50 33 03,警戒/緊張,2,55,56,12
2026-05-18T00:00:03.288,14.897,78,800.781 775.391,29.2,70.8,7.8,True,100,16 4E 34 03 1A 03,警戒/緊張,2,57,55,13
2026-05-18T00:00:04.030,15.64,77,769.531,29.2,70.8,7.8,True,100,16 4D 14 03,警戒/緊張,2,56,54,12
2026-05-18T00:00:05.268,16.876,77,735.352,29.2,70.9,7.8,True,100,16 4D F1 02,警戒/緊張,4,57,48,12
2026-05-18T00:00:06.258,17.866,78,760.742 784.18,29.3,70.5,7.8,True,100,16 4E 0B 03 23 03,警戒/緊張,2,56,47,13
2026-05-18T00:00:07.247,18.857,78,813.477,29.4,70.4,7.8,True,100,16 4E 41 03,警戒/緊張,1,56,38,13
2026-05-18T00:00:08.237,19.847,78,798.828,29.3,70.3,7.8,True,100,16 4E 32 03,警戒/緊張,1,55,33,13
2026-05-18T00:00:09.227,20.836,76,822.266,29.4,70.0,7.8,True,100,16 4C 4A 03,警戒/緊張,1,55,27,11
2026-05-18T00:00:10.217,21.826,75,839.844 818.359,29.4,69.5,7.8,True,100,16 4B 5C 03 46 03,軽い反応,0,54,22,11
2026-05-18T00:00:11.207,22.815,75,781.25,29.5,69.2,7.8,True,100,16 4B 20 03,軽い反応,0,53,17,10
2026-05-18T00:00:12.197,23.806,75,783.203,29.4,69.0,7.8,True,100,16 4B 22 03,軽い反応,0,52,11,11
2026-05-18T00:00:13.187,24.795,75,779.297,29.1,69.0,7.3,True,100,16 4B 1E 03,軽い反応,0,51,6,13
2026-05-18T00:00:14.177,25.785,75,769.531 731.445,28.7,69.2,6.7,True,100,16 4B 14 03 ED 02,軽い反応,1,50,2,17
2026-05-18T00:00:15.166,26.775,76,745.117,28.6,69.1,6.7,True,100,16 4C FB 02,軽い反応,1,50,2,17
2026-05-18T00:00:16.156,27.765,76,791.992,28.8,68.7,6.7,True,100,16 4C 2B 03,軽い反応,1,49,2,17
2026-05-18T00:00:17.146,28.755,75,811.523 765.625,29.0,67.9,6.7,True,100,16 4B 3F 03 10 03,軽い反応,0,48,1,16
2026-05-18T00:00:18.137,29.744,75,779.297,28.9,67.6,6.7,True,100,16 4B 1E 03,軽い反応,1,47,2,16
2026-05-18T00:00:19.126,30.734,75,805.664,28.9,66.9,6.7,True,100,16 4B 39 03,軽い反応,0,46,2,16
2026-05-18T00:00:20.115,31.724,75,790.039,28.9,66.0,6.7,True,100,16 4B 29 03,軽い反応,0,45,2,16
2026-05-18T00:00:21.105,32.714,77,752.93 745.117,29.0,64.8,6.7,True,100,16 4D 03 03 FB 02,軽い反応,1,44,2,18
2026-05-18T00:00:22.095,33.704,77,765.625,29.0,64.4,6.7,True,100,16 4D 10 03,軽い反応,0,43,1,18
2026-05-18T00:00:23.085,34.693,77,783.203,29.0,63.9,6.7,True,100,16 4D 22 03,軽い反応,0,42,1,18
2026-05-18T00:00:24.075,35.684,77,837.891,29.3,63.7,7.3,True,100,16 4D 5A 03,軽い反応,0,42,1,16
2026-05-18T00:00:25.065,36.673,76,867.188 863.281,29.2,63.6,7.3,True,100,16 4C 78 03 74 03,軽い反応,0,40,1,15
2026-05-18T00:00:26.054,37.663,75,831.055,29.3,63.1,7.3,True,100,16 4B 53 03,軽い反応,0,39,1,15
2026-05-18T00:00:27.044,38.653,75,799.805,29.3,62.2,7.3,True,100,16 4B 33 03,軽い反応,0,39,1,15
2026-05-18T00:00:28.282,39.89,75,785.156,29.1,61.3,6.7,True,100,16 4B 24 03,軽い反応,0,40,1,19
2026-05-18T00:00:29.272,40.88,74,804.688 836.914,29.3,60.6,6.7,True,100,16 4A 38 03 59 03,軽い反応,0,38,1,19
2026-05-18T00:00:30.261,41.87,74,820.312,29.3,60.3,6.7,True,100,16 4A 48 03,軽い反応,0,38,1,19
2026-05-18T00:00:31.251,42.86,74,804.688,29.3,59.8,6.7,True,100,16 4A 38 03,軽い反応,0,37,1,19
2026-05-18T00:00:32.241,43.85,74,814.453,29.3,59.4,6.7,True,100,16 4A 42 03,軽い反応,0,36,1,20
2026-05-18T00:00:33.232,44.84,73,824.219,29.2,59.2,6.7,True,100,16 49 4C 03,軽い反応,0,36,1,20
2026-05-18T00:00:34.220,45.829,73,790.039 760.742,29.3,58.1,6.7,True,100,16 49 29 03 0B 03,落ち着き,0,34,1,20
2026-05-18T00:00:35.211,46.82,73,784.18,29.2,57.7,6.7,True,100,16 49 23 03,落ち着き,0,33,1,21
2026-05-18T00:00:36.447,48.056,74,797.852,29.3,57.5,6.7,True,100,16 4A 31 03,落ち着き,0,30,1,21
2026-05-18T00:00:37.190,48.799,74,789.062 755.859,29.4,57.0,6.7,True,100,16 4A 28 03 06 03,落ち着き,0,29,1,21
2026-05-18T00:00:38.180,49.789,74,794.922,29.5,56.7,6.7,True,100,16 4A 2E 03,落ち着き,0,27,1,21
2026-05-18T00:00:39.172,50.779,74,832.031,29.5,56.7,6.7,True,100,16 4A 54 03,落ち着き,0,24,1,21
2026-05-18T00:00:40.161,51.768,74,840.82,29.5,56.4,6.7,True,100,16 4A 5D 03,落ち着き,0,22,1,21
2026-05-18T00:00:41.149,52.759,74,817.383,29.5,55.9,6.7,True,100,16 4A 45 03,落ち着き,0,20,1,21
2026-05-18T00:00:42.140,53.748,74,820.312 832.031,29.2,55.2,6.7,True,100,16 4A 48 03 54 03,落ち着き,0,18,1,23
2026-05-18T00:00:43.128,54.738,74,857.422,29.3,55.5,6.7,True,100,16 4A 6E 03,落ち着き,0,17,1,22
2026-05-18T00:00:44.119,55.728,74,845.703,29.2,55.6,6.7,True,100,16 4A 62 03,落ち着き,0,15,1,22
2026-05-18T00:00:45.110,56.717,74,825.195,29.2,55.5,6.7,True,100,16 4A 4D 03,落ち着き,0,13,1,22
2026-05-18T00:00:46.098,57.708,73,849.609,29.3,55.4,6.7,True,100,16 49 66 03,落ち着き,0,11,1,22
2026-05-18T00:00:47.088,58.697,73,840.82 793.945,29.4,54.3,6.7,True,100,16 49 5D 03 2D 03,落ち着き,0,8,1,23
2026-05-18T00:00:48.078,59.687,73,753.906,29.5,53.5,6.7,True,100,16 49 04 03,落ち着き,0,6,1,23
2026-05-18T00:00:49.070,60.677,73,790.039,29.4,52.9,6.7,True,100,16 49 29 03,落ち着き,0,4,1,24
2026-05-18T00:00:50.305,61.913,73,781.25 753.906,29.4,52.6,6.7,True,100,16 49 20 03 04 03,落ち着き,0,3,1,24
2026-05-18T00:00:51.295,62.904,73,753.906,29.4,52.1,6.7,True,100,16 49 04 03,落ち着き,4,2,1,24
2026-05-18T00:00:52.285,63.893,74,789.062,29.2,51.7,6.1,True,100,16 4A 28 03,落ち着き,0,1,1,27
2026-05-18T00:00:53.275,64.884,74,792.969,28.9,51.6,6.1,True,100,16 4A 2C 03,落ち着き,0,0,2,28
2026-05-18T00:00:54.265,65.874,74,751.953 728.516,29.0,51.7,6.1,True,100,16 4A 02 03 EA 02,落ち着き,11,0,1,28
2026-05-18T00:00:55.255,66.864,76,766.602,29.1,51.7,6.1,True,100,16 4C 11 03,落ち着き,0,1,1,28
2026-05-18T00:00:56.244,67.852,76,825.195,29.3,51.7,6.7,True,100,16 4C 4D 03,落ち着き,0,1,1,26
2026-05-18T00:00:57.235,68.843,76,759.766 725.586,29.4,51.8,6.7,True,100,16 4C 0A 03 E7 02,落ち着き,3,1,1,25
2026-05-18T00:00:58.224,69.832,78,741.211,29.4,51.4,6.7,True,100,16 4E F7 02,落ち着き,2,1,1,27
2026-05-18T00:00:59.214,70.822,78,759.766,29.3,50.8,6.7,True,100,16 4E 0A 03,落ち着き,0,1,1,28
2026-05-18T00:01:00.204,71.812,78,778.32 758.789,29.4,50.2,6.7,True,100,16 4E 1D 03 09 03,落ち着き,0,1,1,28
2026-05-18T00:01:01.194,72.803,78,774.414,29.2,50.1,6.7,True,100,16 4E 19 03,落ち着き,0,1,1,28
