iso_time,elapsed_seconds,bpm,rr_ms,rmssd_ms,sdnn_ms,pnn50_percent,contact_detected,battery_percent,raw_hex,detection_primary,startle_score,fear_tension_score,movement_score,arousal_score
2026-05-18T00:22:34.217,0.64,73,891.602,30.8,45.3,8.4,True,100,16 49 91 03,落ち着き,0,20,0,20
2026-05-18T00:22:35.206,1.63,73,879.883,30.6,45.4,7.8,True,100,16 49 85 03,落ち着き,0,20,0,22
2026-05-18T00:22:36.198,2.621,71,818.359,30.7,45.4,8.4,True,100,16 47 46 03,落ち着き,0,20,0,20
2026-05-18T00:22:37.190,3.611,71,765.625 734.375,30.9,45.5,8.9,True,100,16 47 10 03 F0 02,落ち着き,0,20,0,17
2026-05-18T00:22:38.178,4.601,71,713.867,30.9,45.4,8.9,True,100,16 47 DB 02,落ち着き,16,20,0,17
2026-05-18T00:22:39.170,5.591,72,760.742,30.9,45.0,8.4,True,100,16 48 0B 03,落ち着き,0,20,0,20
2026-05-18T00:22:40.158,6.58,72,831.055,31.3,44.9,8.9,True,100,16 48 53 03,落ち着き,0,20,0,18
2026-05-18T00:22:41.146,7.569,73,888.672,31.5,45.2,9.5,True,100,16 49 8E 03,落ち着き,0,20,0,15
2026-05-18T00:22:42.385,8.807,72,896.484 848.633,31.6,45.1,9.5,True,100,16 48 96 03 65 03,落ち着き,0,20,0,15
2026-05-18T00:22:43.376,9.797,72,844.727,31.6,45.0,9.5,True,100,16 48 61 03,落ち着き,0,20,0,16
2026-05-18T00:22:44.363,10.787,72,856.445,31.4,45.2,9.5,True,100,16 48 6D 03,落ち着き,0,20,0,15
2026-05-18T00:22:45.355,11.778,72,838.867,31.1,45.2,8.9,True,100,16 48 5B 03,落ち着き,0,20,0,17
2026-05-18T00:22:46.345,12.768,72,781.25,31.3,45.2,9.5,True,100,16 48 20 03,落ち着き,0,20,0,15
2026-05-18T00:22:47.334,13.756,73,795.898 811.523,31.1,45.1,9.5,True,100,16 49 2F 03 3F 03,落ち着き,0,20,0,16
2026-05-18T00:22:48.323,14.747,73,808.594,31.0,45.0,9.5,True,100,16 49 3C 03,落ち着き,0,20,0,16
2026-05-18T00:22:49.317,15.737,73,810.547,30.8,45.0,9.5,True,100,16 49 3E 03,落ち着き,0,20,0,16
2026-05-18T00:22:50.302,16.727,73,839.844,30.9,45.1,9.5,True,100,16 49 5C 03,落ち着き,0,20,0,15
2026-05-18T00:22:51.297,17.717,72,863.281,30.9,45.3,9.5,True,100,16 48 74 03,落ち着き,0,20,0,15
2026-05-18T00:22:52.286,18.707,72,829.102 802.734,30.9,45.2,9.5,True,100,16 48 51 03 36 03,落ち着き,0,20,0,15
2026-05-18T00:22:53.276,19.698,72,793.945,30.9,45.1,9.5,True,100,16 48 2D 03,落ち着き,0,19,0,16
2026-05-18T00:22:54.265,20.687,72,825.195,30.9,45.1,9.5,True,100,16 48 4D 03,落ち着き,0,19,0,16
2026-05-18T00:22:55.253,21.676,72,820.312,30.8,45.0,9.5,True,100,16 48 48 03,落ち着き,0,19,0,16
2026-05-18T00:22:56.242,22.666,73,769.531 801.758,31.0,45.0,10.1,True,100,16 49 14 03 35 03,落ち着き,0,19,0,15
2026-05-18T00:22:57.233,23.656,74,794.922,30.6,45.0,9.5,True,100,16 4A 2E 03,落ち着き,0,19,0,16
2026-05-18T00:22:58.226,24.647,74,778.32,30.6,44.9,9.5,True,100,16 4A 1D 03,落ち着き,0,18,0,16
2026-05-18T00:22:59.213,25.636,74,784.18,30.6,44.8,9.5,True,100,16 4A 23 03,落ち着き,0,18,0,16
2026-05-18T00:23:00.206,26.626,74,805.664 823.242,30.6,44.8,9.5,True,100,16 4A 39 03 4B 03,落ち着き,0,18,0,16
2026-05-18T00:23:01.193,27.616,74,767.578,30.6,44.9,9.5,True,100,16 4A 12 03,落ち着き,0,18,0,16
2026-05-18T00:23:02.181,28.606,74,766.602,30.6,44.8,9.5,True,100,16 4A 11 03,落ち着き,0,18,0,16
